type	latitude	longitude	altitude (m)	name	desc
T	-22.552542688	-43.230317114	672.9	Petropolis	
T	-22.552444980	-43.229993384	697.7		
T	-22.552410371	-43.229628543	706.5		
T	-22.552399349	-43.229382325	708.6		
T	-22.552453790	-43.229154932	697.6		
T	-22.552450473	-43.228874798	690.1		
T	-22.552528839	-43.228709548	676.0		
T	-22.552534752	-43.228506981	667.9		
T	-22.552539079	-43.228299559	655.9		
T	-22.552611676	-43.228170830	637.1		
T	-22.552616185	-43.227907830	628.8		
T	-22.552696849	-43.227632527	621.7		
T	-22.552700136	-43.227309247	620.9		
T	-22.552750971	-43.227066663	619.0		
T	-22.552674615	-43.226599391	653.2		
T	-22.552642887	-43.226099518	701.8		
T	-22.552599061	-43.225827152	716.1		
T	-22.552548749	-43.225429497	754.2		
T	-22.552459906	-43.224940240	774.0		
T	-22.552401173	-43.224471075	785.0		
T	-22.552375409	-43.224191421	796.2		
T	-22.552345215	-43.223901147	812.3		
T	-22.552282183	-43.223480536	845.6		
T	-22.552214075	-43.223103440	865.2		
T	-22.552168357	-43.222671202	877.1		
T	-22.552212359	-43.222368503	878.2		
T	-22.552202125	-43.222018519	874.5		
T	-22.552195630	-43.221785581	867.8		
T	-22.552194996	-43.221510955	858.2		
T	-22.552209364	-43.221214173	847.7		
T	-22.552223663	-43.220915945	832.8		
T	-22.552232403	-43.220659367	818.2		
T	-22.552232629	-43.220438928	807.7		
T	-22.552229571	-43.220100265	795.4		
T	-22.552228053	-43.219819832	788.2		
T	-22.552222336	-43.219530040	780.5		
T	-22.552214792	-43.219180507	770.4		
T	-22.552205647	-43.218882752	765.9		
T	-22.552204628	-43.218601785	755.9		
T	-22.552205778	-43.218324385	738.9		
T	-22.552206192	-43.218044882	729.4		
T	-22.552203970	-43.217703415	723.4		
T	-22.552257859	-43.217468568	725.7		
T	-22.552255299	-43.217294486	720.3		
T	-22.552244817	-43.216878953	709.1		
T	-22.552241487	-43.216589875	708.5		
T	-22.552230051	-43.216227884	702.2		
T	-22.552207384	-43.215902085	707.8		
T	-22.552119856	-43.215457238	752.1		
T	-22.552044567	-43.215038235	779.3		
T	-22.552041331	-43.214750309	763.0		
T	-22.552049680	-43.214595552	755.5		
T	-22.552064615	-43.214338731	746.7		
T	-22.552071461	-43.214180398	743.4		
T	-22.552130799	-43.213896574	740.9		
T	-22.552031166	-43.213384488	770.7		
T	-22.551993729	-43.213150881	780.9		
T	-22.551971218	-43.212829056	786.5		
T	-22.551957736	-43.212466147	787.8		
T	-22.551952354	-43.212173222	790.8		
T	-22.551951695	-43.211944422	798.2		
T	-22.551951034	-43.211715265	804.9		
T	-22.551946364	-43.211422227	810.3		
T	-22.551908918	-43.211020455	850.5		
T	-22.551813731	-43.210440636	883.6		
T	-22.551756991	-43.209957729	882.8		
T	-22.551745638	-43.209713904	885.8		
T	-22.551785266	-43.209459204	889.7		
T	-22.551768578	-43.209207401	890.9		
T	-22.551736507	-43.208763597	893.8		
T	-22.551709884	-43.208555348	897.7		
T	-22.551664748	-43.208208219	914.5		
T	-22.551630848	-43.207934300	921.0		
T	-22.551676408	-43.207689995	917.3		
T	-22.551689154	-43.207422893	904.0		
T	-22.551701250	-43.207153855	892.8		
T	-22.551719659	-43.206777240	876.0		
T	-22.551791543	-43.206391650	852.8		
T	-22.551805930	-43.206063522	835.8		
T	-22.551821929	-43.205677711	818.1		
T	-22.551835706	-43.205345460	803.1		
T	-22.551908904	-43.205011391	780.9		
T	-22.551918886	-43.204730411	768.5		
T	-22.551921040	-43.204498126	762.4		
T	-22.551864931	-43.204083900	762.5		
T	-22.551857018	-43.203840741	764.8		
T	-22.551867747	-43.203381701	754.5		
T	-22.551864756	-43.203142714	744.8		
T	-22.551885221	-43.202749551	724.9		
T	-22.551894305	-43.202461953	706.5		
T	-22.551912436	-43.202122327	688.4		
T	-22.551922345	-43.201893037	678.7		
T	-22.551921520	-43.201533217	665.2		
T	-22.551913799	-43.201346159	661.3		
T	-22.551902017	-43.200915199	652.9		
T	-22.551889471	-43.200483234	644.6		
T	-22.551874490	-43.200169321	639.2		
T	-22.551854783	-43.199851580	635.5		
T	-22.551843515	-43.199480310	635.7		
T	-22.551838533	-43.199234527	636.6		
T	-22.551820259	-43.198796668	632.5		
T	-22.551818769	-43.198431225	624.1		
T	-22.551826555	-43.197949625	600.4		
T	-22.551876161	-43.197615544	568.6		
T	-22.551897186	-43.197260369	540.7		
T	-22.551890837	-43.197009740	526.3		
T	-22.551900122	-43.196706561	514.3		
T	-22.551913923	-43.196342892	497.8		
T	-22.551909299	-43.196029486	490.3		
T	-22.551904667	-43.195715608	487.7		
T	-22.551892342	-43.195460057	488.6		
T	-22.551867014	-43.195197688	491.4		
T	-22.551843169	-43.194874365	496.5		
T	-22.551814342	-43.194486751	501.8		
T	-22.551784240	-43.194098952	509.1		
T	-22.551743909	-43.193582625	521.1		
T	-22.551710526	-43.193195002	524.4		
T	-22.551687013	-43.192811520	525.1		
T	-22.551683895	-43.192497349	525.2		
T	-22.551618475	-43.192247452	523.9		
T	-22.551611642	-43.191805520	513.3		
T	-22.551598736	-43.191487273	511.0		
T	-22.551579847	-43.191041432	510.1		
T	-22.551566350	-43.190722854	507.2		
T	-22.551492225	-43.190406907	505.4		
T	-22.551475718	-43.190087815	502.6		
T	-22.551411670	-43.189773460	502.7		
T	-22.551405430	-43.189391648	498.7		
T	-22.551395057	-43.189008720	493.5		
T	-22.551323705	-43.188692523	491.1		
T	-22.551318590	-43.188245236	478.8		
T	-22.551318714	-43.187924737	469.3		
T	-22.551258028	-43.187543382	460.7		
T	-22.551256586	-43.187286062	453.1		
T	-22.551252617	-43.186964018	445.8		
T	-22.551187303	-43.186644879	439.7		
T	-22.551182263	-43.186321929	433.2		
T	-22.551178226	-43.186063216	428.9		
T	-22.551171691	-43.185804425	423.9		
T	-22.551152223	-43.185418103	416.1		
T	-22.551140383	-43.185094928	411.7		
T	-22.551137197	-43.184704581	405.2		
T	-22.551116370	-43.184382962	399.2		
T	-22.551047261	-43.184062040	400.9		
T	-22.551039112	-43.183736797	398.0		
T	-22.551030508	-43.183542934	392.5		
T	-22.551032141	-43.183082882	378.9		
T	-22.551035553	-43.182883614	375.5		
T	-22.551031689	-43.182489090	372.3		
T	-22.551013873	-43.182033299	368.2		
T	-22.550997455	-43.181709240	368.4		
T	-22.550903940	-43.181330373	372.7		
T	-22.550890859	-43.180938621	373.2		
T	-22.550854241	-43.180558958	377.6		
T	-22.550822167	-43.180244179	385.7		
T	-22.550807029	-43.179920242	389.1		
T	-22.550788311	-43.179531879	389.9		
T	-22.550775568	-43.179339828	391.4		
T	-22.550727456	-43.178837564	401.3		
T	-22.550694169	-43.178459902	407.5		
T	-22.550677509	-43.178138003	418.1		
T	-22.550563484	-43.177714687	438.1		
T	-22.550512886	-43.177219901	455.0		
T	-22.550491051	-43.176970511	460.6		
T	-22.550408968	-43.176525781	469.1		
T	-22.550390737	-43.176340843	472.1		
T	-22.550347581	-43.175777049	482.1		
T	-22.550270769	-43.175529363	486.9		
T	-22.550169847	-43.175104141	503.7		
T	-22.550136651	-43.174801743	522.6		
T	-22.550099096	-43.174505016	540.6		
T	-22.550039977	-43.174098249	560.9		
T	-22.549991185	-43.173749514	579.1		
T	-22.549940878	-43.173404557	599.3		
T	-22.549883706	-43.173002710	622.0		
T	-22.549837888	-43.172656523	638.0		
T	-22.549769790	-43.172339161	687.5		
T	-22.549681265	-43.172050850	752.1		
T	-22.549576236	-43.171721777	811.5		
T	-22.549510584	-43.171478250	831.4		
T	-22.549487552	-43.171180375	860.5		
T	-22.549457721	-43.170826381	922.7		
T	-22.549373380	-43.170539366	957.9		
T	-22.549339824	-43.170323586	990.5		
T	-22.549270100	-43.170148768	996.3		
T	-22.549161578	-43.169768838	1021.2		
T	-22.549075894	-43.169570069	1019.5		
T	-22.549017971	-43.169462625	1015.9		
T	-22.548895733	-43.169178579	1013.0		
T	-22.548821737	-43.168820542	1013.6		
T	-22.548816116	-43.168568601	1009.7		
T	-22.548764839	-43.168237790	999.5		
T	-22.548771301	-43.167898756	988.3		
T	-22.548718408	-43.167633785	977.4		
T	-22.548715226	-43.167309491	964.8		
T	-22.548715571	-43.166977985	952.6		
T	-22.548708269	-43.166659690	949.3		
T	-22.548678398	-43.166316549	952.1		
T	-22.548606271	-43.166017838	953.9		
T	-22.548588943	-43.165651562	951.5		
T	-22.548520232	-43.165279865	947.3		
T	-22.548500271	-43.164918731	945.2		
T	-22.548435186	-43.164740068	946.1		
T	-22.548431793	-43.164277350	937.0		
T	-22.548364224	-43.163901412	936.7		
T	-22.548350140	-43.163594437	935.0		
T	-22.548336052	-43.163287402	929.7		
T	-22.548318812	-43.162919414	924.8		
T	-22.548245825	-43.162554417	931.9		
T	-22.548222518	-43.162132252	919.0		
T	-22.548197946	-43.161917277	914.7		
T	-22.548166092	-43.161720942	917.7		
T	-22.548161521	-43.161459961	920.0		
